ID,Titel,User Story,Beschreibung,Szenarien,Akzeptanzkriterien,NFR
US-011,Notfall melden,"In der Rolle als Gruppenmitglied möchte ich einen SOS-Knopf drücken, um im Notfall sofort alle Betreuer zu alarmieren.","Mitglied drückt einen prominenten SOS-Knopf in der App. Das System sendet sofort den Standort des Mitglieds und einen Alarm an alle Betreuer/Organisatoren.","Szenario 1: Ein Schüler verirrt sich in der U-Bahn und drückt SOS. Der Betreuer erhält einen Alarm mit dem Standort des Schülers.
Szenario 2: Ein Mitglied drückt versehentlich SOS und kann den Alarm innerhalb von 5 Sekunden [ANNAHME] abbrechen.","FR-036, FR-037",NFR-005, NFR-008
US-012,Anwesenheit bestätigen,"In der Rolle als Gruppenmitglied möchte ich meine Anwesenheit bei einer Kopfzählung digital bestätigen, damit mein Betreuer weiß, dass ich da bin.","Der Betreuer löst eine Kopfzählung aus. Das Mitglied erhält eine Push-Notification ('Bitte Anwesenheit bestätigen') und drückt 'Ja'.","Szenario 1: Betreuer startet Kopfzählung im Bus. 39 von 40 Mitgliedern bestätigen. Der Betreuer sieht, wer fehlt.","FR-032",
US-013,Kopfzählung durchführen,"In der Rolle als Betreuer möchte ich eine digitale Kopfzählung durchführen, um schnell und akkurat die Anwesenheit meiner Gruppe zu prüfen.","Betreuer startet die Zählung und sieht in Echtzeit, wer bestätigt hat und wer (noch) nicht.","Szenario 1: (Siehe US-012) Betreuer sieht, dass 'Max Mustermann' fehlt und kann ihn direkt anrufen/suchen.","FR-031, FR-033",
US-014,Zimmerliste zuweisen,"In der Rolle als Gruppen-Organisator möchte ich nach der Buchung die Namen meiner Mitglieder den spezifischen Zimmern und Betten zuweisen, um die Zimmerliste für den Anbieter zu erstellen.","Organisator nutzt ein Drag-and-Drop-Interface [ANNAHME], um Mitglieder (z.B. 'Anna, Berta, Clara, Doris') einem gebuchten Zimmer (z.B. 'Zimmer 101: 4 Etagenbetten') zuzuweisen.","Szenario 1: Lehrer weist 4 Schülerinnen einem 4-Bett-Zimmer zu.
Szenario 2: Lehrer teilt sich selbst einem Einzelzimmer zu.
Szenario 3: Organisator teilt die fertige Liste digital mit dem Immobilienverwalter.","FR-007, FR-008, FR-009",
US-015,Unterkunft detailliert listen,"In der Rolle als Großformat-Immobilienverwalter möchte ich die genaue Bettenkonfiguration meiner Zimmer angeben, damit Organisatoren exakt planen können.","Im Listing-Prozess gibt der Verwalter für Zimmer 1 nicht nur '8 Betten' an, sondern '4 x Etagenbett'.","Szenario 1: Verwalter listet 'Zimmer 101' mit '4 Etagenbetten (8 Schlafplätze)'.
Szenario 2: Verwalter listet 'Zimmer 102' mit '2 Twin-Betten (2 Schlafplätze)'.","FR-038",
US-016,Sonderräume listen,"In der Rolle als Großformat-Immobilienverwalter möchte ich spezielle Gemeinschaftsräume und Ausstattungen (z.B. Proberaum, Busparkplatz) angeben, um für spezielle Gruppen (Chöre, Sportteams) attraktiv zu sein.","Verwalter hakt in seinem Profil Checkboxen an für 'Proberaum (akustisch behandelt)', 'Instrumentenlager', 'Busparkplatz' und gibt die qm-Zahl des Speisesaals an.","Szenario 1: Verwalter listet 'Speisesaal (100qm, 80 Sitzplätze)'.
Szenario 2: Verwalter lädt das 'Brandschutzzertifikat 2025' hoch.","FR-039, FR-040, FR-041",
US-017,Gruppenpreise festlegen,"In der Rolle als Großformat-Immobilienverwalter möchte ich Preise pro Person festlegen, da dies dem B2B-Standard für Gruppen entspricht.","Statt eines Preises pro Nacht für das Zimmer, gibt der Verwalter einen Preis pro Person/Nacht an.","Szenario 1: Verwalter legt 40€/Person/Nacht fest.","FR-042",
US-018,Gestaffelte Preise anbieten,"In der Rolle als Großformat-Immobilienverwalter möchte ich gestaffelte Preise (Tiered Pricing) anbieten, um größere Gruppen zu incentivieren.","Verwalter legt fest: '20-39 Personen: 40€/Person', '40-59 Personen: 38€/Person', 'Ab 60 Personen: 35€/Person'.","Szenario 1: Eine RFP für 44 Personen erhält automatisch den Preis von 38€/Person.","FR-043",
???,???,???,???,???,???,???
???,???,???,???,???,???,???
???,???,???,???,???,???,???
???,???,???,???,???,???,???
???,???,???,???,???,???,???
???-US-001,Reise-Registrierung,"In der Rolle als Gruppenmitglied (Elternteil) möchte ich mich für eine Reise registrieren und meine Zahlungsdaten hinterlegen, um meinen Anteil bezahlen zu können.","[LÜCKE] Dieser Prozess ist Voraussetzung für US-004, aber im Dokument nicht detailliert beschrieben. Wie kommt das Mitglied (Elternteil) ins System? Per Einladungslink vom Organisator?","Szenario 1: Elternteil erhält E-Mail 'Einladung zur Chorfahrt Berlin', klickt Link, erstellt einfaches Konto, hinterlegt Kreditkarte.","???-Funktional, ???-Funktional",
???-US-002,Einzelstornierung durchführen,"In der Rolle als Gruppen-Organisator möchte ich ein einzelnes Mitglied von der Reise abmelden (stornieren), um auf Änderungen (z.B. Krankheit) reagieren zu können.","[LÜCKE] Das Dokument beschreibt das Hinzufügen und Bezahlen, aber nicht den Storno-Fall. Was passiert finanziell?","Szenario 1: Ein Schüler bricht sich das Bein. Der Lehrer entfernt ihn von der Reise.
Szenario 2: Das System berechnet die Stornokosten (basierend auf den AGBs des Anbieters [ANNAHME]) und zeigt dem Organisator die finanziellen Auswirkungen (z.B. 'Rückerstattung 50€', oder 'Kosten müssen auf Rest der Gruppe umgelegt werden').","???-Funktional, ???-Funktional",
???-US-003,Organisator lädt Mitglieder ein,"In der Rolle als Gruppen-Organisator möchte ich Mitglieder (bzw. deren Eltern) zu einer erstellten Reise einladen, damit diese ihre Zahlungen und Genehmigungen vornehmen können.","[LÜCKE] Bindeglied zwischen US-003 (Finanzierung einrichten) und US-004 (Anteil bezahlen). Wahrscheinlich durch Hochladen einer E-Mail-Liste oder Teilen eines Einladungs-Codes.","Szenario 1: Organisator lädt 40 E-Mail-Adressen (der Eltern) zur Reise ein. Das System versendet die Einladungen (siehe ???-US-001) und die Zahlungsaufforderungen (US-004).","???-Funktional",
???-US-004,Zentrale Rechnung bezahlen,"In der Rolle als Gruppen-Organisator (oder Schulverwaltung) möchte ich eine zentrale Gruppenrechnung erhalten und diese per Überweisung bezahlen, um institutionellen Buchhaltungsprozessen zu entsprechen.","[LÜCKE] Das Dokument erwähnt die Erstellung der Rechnung (FR-017), aber nicht den Bezahlprozess. Dies ist eine Alternative zu Split Payments für Institutionen.","Szenario 1: Der Organisator wählt 'Zentrale Rechnungsstellung' statt 'Split Payment'.
Szenario 2: Das System generiert eine PDF-Rechnung für die Schule. Die Schulverwaltung überweist den Gesamtbetrag. Der Organisator sieht im Dashboard 'Bezahlt (durch Institution)'.","FR-017",
